input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40AIST000000,78320088400147,AIST 84,1.0,DIRECT_ID,[],,,,,,,,,
40AKTO000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALCOREP000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALDITRPS00,50143489800026,ALDI REIMS,1.0,DIRECT_ID,[],,,,,,,,,
40ALLARD0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALLCAT0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALLIANCE00,51901940000026,FB SERVICES PLUS RH,1.0,DIRECT_ID,[],,,,,,,,,
40ALMA000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALMATRANS0,30673838600045,ALMA TRANSITAIRES,1.0,DIRECT_ID,[],,,,,,,,,
40ALMO000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALPESCONTR,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALPHAPRINT,,,0.0,NOT_FOUND,[],,,,,,,,,
40ALROPRIM00,31676912400058,ALROPRIM,1.0,DIRECT_ID,[],,,,,,,,,
40ALTER00000,39943169100027,ALTERBIO FRANCE,0.6,CALCULATED,[],,,,,,,,,
40AMF0000000,82129659700015,AMF,1.0,DIRECT_ID,[],,,,,,,,,
40AMGFORMATI,,,0.0,NOT_FOUND,[],,,,,,,,,
40AMS0000000,47785468100038,AMS EUROPEAN,1.0,DIRECT_ID,[],,,,,,,,,
40ANAR000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ANATECS000,79308176100025,ANATECS,1.0,DIRECT_ID,[],,,,,,,,,
40ANCV000000,83419156100010,ANCV TRANSPORT,1.0,DIRECT_ID,[],,,,,,,,,
40ANETT00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ANIMACOM00,48743284100012,SARL ANIMA-COM,1.0,DIRECT_ID,[],,,,,,,,,
